ChildcareComments,n,Category,Category2,Category3,Category4,Category5,Category6
I believe a childcare program would go a long way to help those that need it.,1,Availability (+),,,,,
"I believe it is difficult for fellow graduate students to find childcare, and to arrange it.",1,Availability (+),,,,,
"I can imagine that if I did have children, having childcare available would be extremely beneficial.",1,Availability (+),,,,,
"I can’t afford childcare as a single mom, full-time student. I purchased gabb phones for my children, which came out to about $500 out of pocket and cost about $50 a month (cheaper than childcare), but I wish there was some sort of child care stipend available so that I could hire somebody to stay with my kids when I can’t be there (especially when I am gone all day Saturday because I have classes those days too). My kids are 9 and 12 years old.",1,Availability (+),Financial Barrier,Female student support,Single Parent,,
"I can't afford to pay for it, so my wife (working parent) and I just take care of it at the expense of my studies.",1,Availability (+),Financial Barrier,Academic Progress,,,
I do not have any kids so no,1,NA,,,,,
"I do not have children, but part of that decision was because BYU does not support mothers. The lip service for the family unit and continued education is at direct odds with the actions of the university.",1,Availability (+),Female student support,Family Encouragement,,,
I do not know much about childcare.,1,Information,,,,,
"I do not personally have children, but I think that finding childcare services during the business day is a big concern for many graduate students, especially in cases where the child is very young or both spouses are graduate students.",1,Availability (+),,,,,
I don't even know if there are childcare options that are specifically connected to BYU. It would be useful if that information was more obvious.,1,Information,,,,,
I don't have any kids myself but I do help my friend in our MSW cohort with childcare once a week. It's a HUGE stressor for her and she has to run round town everyday she has classes to get her child to the right house for childcare as she has to split the time up among family and friends who can help during the school day. It's stressful each semester as her schedule changes and she needs to find new sitters sometimes to accommodate for the new schedule.,1,Availability (+),Scheduling,Mental Health,,,
"I don’t have any kids, but as for my classmates who do I know childcare can be a challenge or stressor.",1,Availability (+),Mental Health,,,,
"I don't have any kids, but I imagine it would be super expensive to get childcare with the long days we often have as grad students. I am often at the comprehensive clinic from 8am-7pm and that would add up if I were paying someone to watch my kids!",1,Availability (+),Financial Barrier,,,,
I don't have children,1,NA,,,,,
I don’t have children,1,NA,,,,,
I don’t have children at this time but if I did (and didn’t have an outside job) I imagine finances and everything around children would easily be my biggest concern and would be a pretty large deterrent for me attending graduate school,1,Availability (+),Financial Barrier,Graduate dissuasion,,,
I don't have children but some of my friends do and I know it would be helpful if the university offered day care services,1,Availability (+),,,,,
I don't have children so I can't say,1,NA,,,,,
"I don't have children, but I feel like I have no choice but to wait until I am graduated because I know that childcare options are so minimal as a student.",1,Availability (+),Family Encouragement,,,,
"I don't have children, but I know so many people who do and they have to juggle so many things. Childcare, with proper training and supervision of caretakers (not just hired babysitters), would really help the graduate experience",1,Availability (+),,,,,
"I don’t have children, but maybe a place to drop them off near the Tanner building would be helpful",1,Availability (+),,,,,
"I don't have kids but I plan on having them while a student, so providing more information about what childcare services BYU provides. Possibly a respite center for single-parent students?",1,Availability (+),Information,Mental Health,Single Parent,,
I don't have kids so I feel like my opinion wouldn't be incredibly helpful,1,NA,,,,,
"I don't have kids yet, but among my colleagues who do in graduate studies, i know balancing childcare with all the other responsibilities is very hard.",1,Availability (+),Mental Health,,,,
"I don't have kids, so my opinion on this is fairly moot, haha.",1,NA,,,,,
I don't have kids.,1,NA,,,,,
I don't know because I don't have children.,1,NA,,,,,
I don’t know of any childcare support for graduate students,1,Availability (+),Information,,,,
"I don't know what options there are for childcare, but I know that I have classmates that often bring children to classes. They are usually really tactful about it so that they don't distract other students, but I can tell that it distracts the parents from class material. I suppose that can't always be helped.",1,Availability (+),Information,Academic Progress,,,
"I don’t want to be callous, but I don’t think children should be in the graduate classrooms.",1,Availability (+),,,,,
I dont know about this,1,Information,,,,,
"I dont think the childcare is advertised enough, my wife is pregnant and we have thought about childcare at BYU but I know nothing about it.",1,Information,,,,,
"I feel very fortunate to have been able to work out childcare to be able to attend my program. The fact the my husband works at home enables us to not have to pay for additional childcare for our older child for when he comes home from school each day until the end of the work day. And, my mother-in-law is able to be there on the weekly Friday early-outs. Without this, childcare expenses would probably double for us.",1,Availability (+),Financial Barrier,,,,
I have a cousin who did grad school at byu and really struggled to find childcare for them. Many other universities do have a similar program.,1,Availability (+),Mental Health,,,,
"I have been lucky that my wife has been able to stay home with our child, but options for childcare would be extremely helpful.",1,Availability (+),,,,,
"I have friends who are mothers and fathers and sometimes they have no option but to bring their infant to class. At BYU Hawaii, senior missionary couples walk around caring for infants of parents in classes. Looking forward to having children of my own, I have a hard time seeing how to make my education fit around that.",1,Availability (+),Academic Progress,Family Encouragement,,,
"I have friends with kids and I think having insurance, nursery, or support for their kids will help them lessen the burden and have time for their education.",1,Availability (+),Academic Progress,Mental Health,,,
I have heard from peers that it is practically non-existent and the cost of childcare can be quite exorbitant. I think that the lack of childcare deters many from pursing graduate studies at BYU and instead they look elsewhere.,1,Availability (+),Graduate dissuasion,Financial Barrier,,,
"I have never heard or been told whether or not there is childcare available, and that is something that is making my fiancee hesitant to want to pursue her masters here",1,Availability (+),Graduate dissuasion,Information,,,
I have no children but I guess a place for those who might not have someone to take care of their children would be great especially single fathers and mothers,1,Availability (+),Single Parent,,,,
I have no kids so I don’t know,1,NA,,,,,
"I have seen my peers bring their small children to class. They have handled it well, but I can tell they are under a certain level of stress trying to take notes and watch over their children.",1,Availability (+),Mental Health,,,,
"I have several cohort members with children, and I know that it's difficult for them to either afford childcare or manage class schedules with children. Evening classes with adjunct professors are particularly difficult for the parents in my program.",1,Availability (+),Scheduling,Academic Progress,,,
I have spoken to a few of my friends in graduate studies that do have children and they have expressed concerns about finding affordable childcare in the area. I think it would be helpful to have a potential resources for those new to the area or even childcare offered at BYU.,1,Availability (+),Financial Barrier,Information,,,
I hire a nanny to be with my childeren after school while I am in afternoon classes. It would help me for my class hours to mirror those of my children (between the hours of 9-3) so that I am able to be home with them after school,1,Availability (+),Scheduling,Family Encouragement,Academic Progress,,
"I hope there is a more flexible guideline about bringing children into a class. My husband and I are both graduate students and we have 2 young children. We are both international students with limited funds and there are times that we have to miss class because no one is available to watch our kids. Most of our friends are either working or also studying. We have no family around and we can't afford to pay for daycare. When our children are sick, schools won't allow them to come in unless they don't have a fever within 48 hours. There are fall breaks, and spring breaks, where we still have classes. It is very difficult for us, we value our education but our family is our top priority. If there are zoom options, we would really appreciate it. Thank you!",1,Availability (+),Financial Barrier,Academic Progress,Accommodation & Faculty support,Scheduling,
"I imagine it’s a big issue for some students, and a non issue for a lot of others",1,NA,,,,,
"I just have a friend who has a baby and she is always having to juggle her baby between sitters in order to have time for everything, including breast feeding and pumping. It is a lot of time and work!",1,Availability (+),Female student support,,,,
I know I have classmates who have had to skip out on class because a babysitter wasn't able to watch their children. Having something that allows them to come to attend class while watching their children would be optimal.,1,Availability (+),Scheduling,Academic Progress,,,
I know several people in my grad program at BYU that have said childcare has been a significant barrier to success in their graduate studies,1,Availability (+),Academic Progress,,,,
"I love my childcare situation but it is pricey for full time. If there was childcare on campus, that would be such a blessing",1,Availability (+),Financial Barrier,,,,
"I plan to have children during Graduate school, and would like options for childcare.",1,Availability (+),,,,,
"I really need on campus childcare that is either free or very affordable. If this is not possible, a scholarship or grant for married students to spend on childcare would also be helpful. There also needs to be a more understanding attitude from some faculty when the children need to come with us to campus.",1,Availability (+),Financial Barrier,Accommodation & Faculty support,,,
I strongly believe that providing childcare facilities at BYU would both encourage establishing families and improve the lives of students with children,1,Availability (+),Family Encouragement,,,,
I think for those graduate students who have their family insurance from BYU should cover their childcare and health facilities in their parents health insurance and the health coverage should include some more health services like optical services for the married and single grad students. Childcare health coverage should provide basic health examination without any cost whenever needed.,1,Other,,,,,
"I think in general BYU is behind with the times in supporting students in regards to childcare. Having more childcare access would help families, especially women continue to get an education while also balancing family life. It would help women feel like they don’t have to choose between a family and education.",1,Availability (+),Family Encouragement,Female student support,,,
I think it’d be great to provide this service,1,Availability (+),,,,,
"I think it’s important to realize that BYU is an institution for education. It’s job is not to be a daycare, and the university cannot provide every need a human has.",1,Availability (-),,,,,
"I think its pretty ridiculous, with the emphasis that the church places on family, that BYU is one of the only universities in our state that has no childcare options.",1,Availability (+),Family Encouragement,,,,
"I think making it affordable and convenient are the biggest things. It may be a bit difficult to adjust to different schedules. Making sure that childcare employees are trustworthy and not secretly abusive is a big thing, especially because there have been some horrid stories as of late about daycare workers. Maybe allowing a stream for parents to check in every so often would be good",1,Availability (+),Scheduling,Financial Barrier,Other,,
"I think not offering childcare options for BYU students can make balancing family and academics extremely difficult. It can also result in people putting off having children because there is no feasible way to accommodate both, especially if funding for school is not sufficient for the other spouse to not work",1,Availability (+),Financial Barrier,Family Encouragement,,,
"I think that grad school can be very demanding, so there definitely is a need for childcare for those who have children.",1,Availability (+),Mental Health,,,,
I think that there is a real need for it. I know there are people in my cohort who have really struggled with the lack of support from teachers and also knowing that some of them are going into more debt to try to cover costs.,1,Availability (+),Financial Barrier,Accommodation & Faculty support,Mental Health,,
I think there should be an option for childcare on campus. As someone trying to plan for a family that would open up so many opportunities to have some sort of option for childcare.,1,Availability (+),Family Encouragement,,,,
"I think there should be childcare offered here, especially with the emphasis on families at BYU. I know UVU has a program so maybe basing it off of that",1,Availability (+),Family Encouragement,,,,
I think there should be more Mother's rooms on campus. I have heard fellow female graduate students complaining about that.,1,Availability (+),Mother's rooms,,,,
"I understand that childcare on campus may not be feasible because of regulations, policies, etc. However, having more family friendly places on campus would be helpful so children can occupy themselves while parents switch off or study.",1,Availability (+),Family rooms,,,,
I waited to start grad school until my children were in school.,1,Availability (+),Academic Progress,Graduate dissuasion,,,
I wasn't aware of any childcare offered,1,Information,,,,,
I wish there is byu related childcare under 3 years old or help to find childcare or daycare that has lower tuition,1,Availability (+),Financial Barrier,,,,
I wish there was a BYU daycare for Graduate students on campus.,1,Availability (+),,,,,
I wish there were on-campus childcare and that it was affordable.,1,Availability (+),Financial Barrier,,,,
I wish there were options for childcare at BYU. It is really challenging to find your own local support for childcare.  And each semester I am scrambling to find new help.,1,Availability (+),,,,,
I wonder if there's a space at BYU where our older children can stay doing homework when we have classes after their school is out.,1,Availability (+),Family rooms,Information,,,
I would be more likely to consider having kids during grad school if good childcare was available for graduate students.,1,Availability (+),Family Encouragement,,,,
"I would just be interested in know more about how to find childcare. That has held me and my family back from having kids while I'm in school, we aren't sure how to find affordable child care.",1,Availability (+),Family Encouragement,Financial Barrier,Information,,
I would like to know what BYU Graduate Studies is currently doing to help with childcare.,1,Availability (+),Information,,,,
I would like to learn more information about childcare for the future,1,Availability (+),Information,,,,
I would love an option for my children to have quality childcare but transportation is impossible.,1,Availability (+),Other,,,,
"I would love if there were some available options during class times. I don't have kids yet, but I might potentially before I graduate",1,Availability (+),Scheduling,Academic Progress,,,
"I would love to have childcare options at BYU. This is the hardest problem that I face when coming to school. Even the preschool and Kindergarten options are difficult because they aren't on the same schedule as my classes. (Classes start on the hour or :15, and preschool has half hour, etc.)",1,Availability (+),Scheduling,Academic Progress,,,
I would love to have the opportunity to have something on campus that would allow me to go into the lab whenever I need to rather than trying to work around the times when someone can watch my child.,1,Availability (+),Scheduling,Academic Progress,,,
"I would love to see on-campus child care services available for BYU students. Considering the large number of students who are married and/or have children at BYU, I'm surprised BYU has not yet provided this service. Please see UM Ann Arbor's program for inspiration as to how to make childcare available to the BYU community.",1,Availability (+),,,,,
I would much prefer to employ a daycare entity organized by BYU than where I'm currently paying.,1,Availability (+),,,,,
I’m barely handling this single with no kids. I don’t know how people do this with whole families.,1,Availability (+),,,,,
I'm not familiar with how BYU Graduate Studies can help with childcare. Are there any services for grad students and their children?,1,Availability (+),Information,,,,
I'm not the right person to ask :),1,NA,,,,,
"I've had several class where people had to bring on their kids. Offering it seems important, especially because the church puts such an emphasis on having families",1,Availability (+),Family Encouragement,,,,
"I’ve just heard a lot of horrible, frustrating things. A lot of the moms in the program seem tired and like help is hard to get.",1,Availability (+),Female student support,Mental Health,,,
"If BYU could have childcare program for younger kids from 1-3 years old, that will greatly help mother students",1,Availability (+),Female student support,,,,
"If services for this exist, please make this known publically",1,Availability (+),Information,,,,
If the BYU could provide a space where we could leave the kids to play and attend the classes in time of emergency that would be a relief to us rather than worrying how to bring them to class and making them be quiet,1,Availability (+),,,,,
If there are programs that help with childcare market it more as I had no idea.,1,Availability (+),Information,,,,
"If there is a way to accomplish assignments without needing childcare, it would be a great help.",1,Availability (+),Academic Progress,,,,
"If there is insufficient child care for students, students with children will be disadvantaged in their education. Additionally, lack of child care at BYU will deter qualified, potential students from applying and will only serve to diminish diversity and belonging on campus. If BYU and the Church of Jesus Christ of Latter-day Saints really care about families, like they say they do, providing a much greater amount of free and accessible child care for students needs to be a much higher priority.",1,Availability (+),Academic Progress,Graduate dissuasion,Family Encouragement,,
"If there were more reputable options for childcare on campus, it would make an incredible difference to me and my education— both in terms of attendance when childcare doesn’t work and mental ease/lightening the load for my spouse during the long days when I’m away.",1,Availability (+),Academic Progress,Mental Health,,,
If we could have a low prize or free childcare program it will be really helpful,1,Availability (+),Financial Barrier,,,,
"If you provide child care, the graduates on the West side of campus (RB, SFH, WCCB, etc) would need access and not everyone can walk up the stairs or even have time to walk up the stairs to “top” campus.",1,Information,,,,,
Is it feasible for Brigham Young University to offer a daycare program with bilingual services?,1,Availability (+),Other,,,,
"Is there  childcare available gor BYU students? I honestly don't know. If BYU has this service, children have to be enrolled the whole semester? It would be great if it was just for hour in case you have just one class or a meeting or something",1,Availability (+),Scheduling,Information,Academic Progress,,
Is there a daycare on campus?,1,Availability (+),Information,,,,
Is there a program for Graduate students to have childcare for low cost? Does the school offer something?,1,Availability (+),Financial Barrier,Information,,,
It basically doesn't exist,1,Availability (+),,,,,
It can be stressful.,1,Availability (+),Mental Health,,,,
"It can be very difficult for grad students working in the Life Science building. For obvious reasons, children aren't allowed in the labs, but some parents don't have anyone to help with child care when they need to be in the lab.",1,Availability (+),Academic Progress,,,,
"It doesn't affect me personally yet, but having access to safe and nearby childcare would mean so much to many of my colleagues.",1,Availability (+),No issue,,,,
"It doesn't exist, so you have to plan ahead and either leave your child(ren) at home with a spouse or babysitter or take them with you to campus/classes. It is very difficult to get babies to nap on campus.",1,Availability (+),,,,,
It feels like my spouse is my only option.,1,Availability (+),,,,,
It is a non-issue with my family.,1,No issue,,,,,
"It is difficult for a Single Parent to attend BYU due to a lack of daycare. BYU students could benefit greatly from an on-campus daycare for all ages. Transporting children to and from daycare is very difficult because BYU is set up as a walking campus. There is food, housing, and everything else needed to live on campus, so why not daycare?",1,Availability (+),Single Parent,,,,
It is difficult to find financially sound options.,1,Availability (+),Financial Barrier,,,,
It is expensive but necessary if I am going to finish my degree,1,Availability (+),Financial Barrier,,,,
It is honestly a little ridiculous that a university sponsored by the Church would be so unfriendly to families. We should be number 1 in the nation for helping families get their education.,1,Availability (+),Family Encouragement,,,,
It is just with family but we may need more soon,1,Availability (+),,,,,
It is needed! There are so many parents in the vast number of programs and they honestly shouldn't have to pay astronomical amounts of money just so they can go to school and be a parent.,1,Availability (+),Financial Barrier,,,,
It is too expensive,1,Availability (+),Financial Barrier,,,,
It should be available and affordable,1,Availability (+),Financial Barrier,,,,
It would be amazing if there was day care offered at BYU or nearBYU,1,Availability (+),,,,,
It would be awesome if there are some facilities for people with kids to be able to feed them and take care of some minor chores they can't do it in their own offices,1,Availability (+),Family rooms,Mother's rooms,,,
It would be awesome to get help with childcare at least part time at an affordable rate or free. Honestly that would be a dream. Right now I am having to rely on 6 friends having to rotate my baby from home to home in between classes which makes it really hard.,1,Availability (+),Financial Barrier,Mental Health,,,
It would be awesome to have as an incidental resource,1,Availability (+),,,,,
It would be especially nice for those with children to have more support,1,Availability (+),,,,,
"It would be extremely helpful to have an on-campus childcare solution. It would be cheaper, more convenient, and allow me to better succeed in my program.",1,Availability (+),Academic Progress,Financial Barrier,,,
It would be great if it was offered on campus.,1,Availability (+),,,,,
it would be great if there were on-campus options,1,Availability (+),,,,,
It would be helpful!,1,Availability (+),,,,,
It would be nice if there was an affordable and convenient option.,1,Availability (+),Financial Barrier,,,,
It would be nice to at least have childcare for GSS events.,1,Availability (+),,,,,
It would be nice to at least know the resources that are available for childcare. A childcare service offered even just a day or two a week would also be nice.,1,Availability (+),,,,,
"It would be nice to have a place on campus for child care, so graduate students could see children on breaks and so forth.",1,Availability (+),Family Encouragement,,,,
"It would be nice to have an onsite service so that I could see my child more often during the day. I feel like currently, I see him in the morning and then he's usually going to bed by the time I get home.",1,Availability (+),Family Encouragement,,,,
"It would be nice to just receive a list of resources for childcare. Ex. The nearby day cares, preschools, after school groups, etc.",1,Availability (+),Information,,,,
It would lower the barrier for having children while in grad school,1,Availability (+),Family Encouragement,,,,
It would probably make graduate studies more possible for many potential students.,1,Availability (+),,,,,
"It's a lot of money. Don't expect anyone to help with it either. You can get all the scholarships in the world, but if you can't pay for childcare, good luck.",1,Availability (+),Financial Barrier,,,,
It’s expensive,1,Availability (+),Financial Barrier,,,,
"It's hard enough for some students to juggle all of their school responsibilities, let alone unreliable childcare from nannies in the community. Childcare options facilitated by the university would help immensely.",1,Availability (+),Mental Health,,,,
It's hard to find anything close and affordable.,1,Availability (+),Financial Barrier,,,,
It’s needed!,1,Availability (+),,,,,
It's really hard to think about having children knowing how expensive it is to get day care,1,Availability (+),Financial Barrier,,,,
It's severely lacking,1,Availability (+),,,,,
"It's very difficult to find childcare during the evening classes, some parents work all day from 6 am to 8 -10 pm",1,Availability (+),Scheduling,Academic Progress,,,
Its extremely expensive and difficult to find opening for part time or full time daycare.,1,Availability (+),Financial Barrier,,,,
Its not great right now. We need more.,1,Availability (+),,,,,
Just emphasizing the importance of having trained individuals employed as childcare workers,1,Availability (+),Other,,,,
"Just that I know for the parents with young children, it would be helpful to on campus childcare. Something dependable. Private babysitters can be unreliable and that can be a source of great stress for parents with young children.",1,Availability (+),Mental Health,,,,
"Just that it's kind of the norm at other universities. It feels kind of strange that it isn't a thing at BYU, which is supposed to be a very family centered community.",1,Availability (+),Family Encouragement,,,,
Many graduate students have very young children but some of us have older children and I would like our needs to also be considered.,1,Other,,,,,
Many other universities have on site childcare,1,Availability (+),,,,,
Many other universities offer free childcare when you are accepted and there is a stipend based on how many credits you are taking. This is something that my family would have absolutely taken advantage of as both my husband and I are in grad school,1,Availability (+),Financial Barrier,,,,
"Many parents have family close to watch their kids. I haven’t had that, so perhaps this is more of an issue for me than for others. I had to find an in home daycare, which has luckily been amazing, but I am having to find new childcare now and am realizing how hard it is. There aren’t many good options in Utah county. The best option seems to be finding other parents who can watch your child in their home. BYU graduate studies may be able to help parents by putting them in touch with each other to trade off childcare.",1,Availability (+),,,,,
Maybe the Gym could incorporate childcare,1,Availability (+),,,,,
More access to child care for mom graduates students,1,Availability (+),Female student support,,,,
My child is 1 month old and my wife still is at home with him so I don't have a super informed opinion.,1,NA,,,,,
My children are grown so this doesn’t apply to me,1,NA,,,,,
My children are grown…,1,NA,,,,,
My children are in school except for one who is at home with his mom.,1,NA,,,,,
My children are in school so it is difficult to do things in the afternoons/evenings when they are home,1,Other,,,,,
My children are older so I don’t have current needs.,1,NA,,,,,
My department is picking up all the slack. They are wonderful and supportive. But BYU needs to do more to support parents. Childcare doesn’t need to by my #1 concern.,1,Availability (+),,,,,
"My graduate work is highly impacted by my childcare. I have to leave the lab earlier than I would like because I do not have enough funds to have my child in childcare as long as I need to do research. As a female graduate student this puts me behind my male counterparts necause I dont have a spouse that stays home full time. Secondly, I did not plan to have a child in graduate school but life happened differently regardless of my planning. Because of this I felt that I would have to drop out of grad school because of the limited resources and feeling like I was a burden on my program. If you want to show that you actually support the female graduate students, especially those that are married and my become pregnant at any time during their program this is the best way you can support us.",1,Availability (+),Female student support,Academic Progress,Financial Barrier,Mental Health,
My husband works from home and watches them,1,No issue,,,,,
"My kids are in school so I don't need childcare, but many of my peers with children wish there was an on-campus childcare option.",1,Availability (+),No issue,,,,
My kids are now in elementary school. But my wife and I are both in BYU graduate school at the same time.,1,Availability (+),,,,,
My wife and I are delaying having children because she would not be able to continue to support us while I am in school. Having an affordable daycare option would greatly influence our decision.,1,Availability (+),Family Encouragement,Financial Barrier,,,
My wife and I plan to start trying for a child this year (so excited!) but I also worry that having a child will slow down my studies even more.,1,Availability (+),Academic Progress,,,,
"My wife is a stay-at-home mom. If she wasn't, I honestly don't know how we would manage childcare.",1,Availability (+),,,,,
"My wife is stay at home. However, if she had some time where the kids could be watched she may be able to get work to help subsidize our living costs.",1,Availability (+),Financial Barrier,,,,
"My wife takes care of our children, which takes a lot of load off me but it can be stressful for her since her whole day is taking care of children",1,Availability (+),Mental Health,,,,
My wife watches our kids while I attend school.,1,No issue,,,,,
n/a,11,NA,,,,,
N/a,3,NA,,,,,
N/A,32,NA,,,,,
N/A - I don't have children,1,NA,,,,,
n/a. my wife watches the kids.,1,No issue,,,,,
na,1,NA,,,,,
Need childcare support for emergency situations—like the baby cancels.,1,Availability (+),Scheduling,,,,
no,11,No,,,,,
No,56,No,,,,,
No children,1,NA,,,,,
"No children - not relevant. But it would be nice to have some student only activities. Most grad students in our department don't have children, and avoid Grad Events because they're always family oriented. Let's have a bbq and get to know each other without 9 million children running around.",1,NA,Availability (+),,,,
no comment,1,NA,,,,,
No kids :'( Not even married :'''(,1,NA,,,,,
"No, I do not have any children. My friends that do have children would probably love free or inexpensive childcare at BYU to make it easier to attend classes.",1,NA,Availability (+),,,,
"No, I don’t have a child",1,NA,,,,,
"No, I don't have any children at home.",1,NA,,,,,
no.,1,NA,,,,,
No.,4,NA,,,,,
none,1,NA,,,,,
None,3,NA,,,,,
nope,2,NA,,,,,
Nope,3,NA,,,,,
nope.  I don't have children yet.,1,NA,,,,,
Nope. Why is this whole survey about childcare so far?,1,NA,,,,,
Not an issue for me,1,No issue,,,,,
Not at the moment,2,NA,,,,,
Not for now,1,NA,,,,,
Not having access to affordable childcare as a graduate student is what is keeping my from having a family.,1,Availability (+),Family Encouragement,Financial Barrier,,,
Not relevant to me,1,NA,,,,,
not right now,1,NA,,,,,
One of our obstacles to having children is the lack of affordable childcare. It would be really helpful.,1,Availability (+),Family Encouragement,Financial Barrier,,,
"Other universities have discounted childcare programs - could we implement this, or does BYU still hate kids?",1,Availability (+),Financial Barrier,,,,
